Date,Open,High,Low,Close,Adj Close,Volume
2009-02-02,47.259998,48.169998,46.939999,47.540001,36.558975,6267800
2009-02-03,48.240002,48.639999,47.150002,48.310001,37.151127,5429100
2009-02-04,48.270000,48.860001,47.349998,47.529999,36.551296,5592900
2009-02-05,47.230000,48.529999,46.520000,48.049999,36.951172,6629600
2009-02-06,48.169998,49.570000,47.990002,49.029999,37.704807,7173800
2009-02-09,49.090000,49.869999,48.599998,49.619999,38.158527,6983200
2009-02-10,49.250000,49.779999,46.750000,47.060001,36.189846,8098400
2009-02-11,47.259998,48.029999,47.000000,47.619999,36.620495,4513200
2009-02-12,46.599998,47.009998,45.410000,46.910000,36.074497,6384200
2009-02-13,47.139999,47.959999,46.779999,47.090000,36.212906,4447100
2009-02-17,45.970001,46.709999,45.180000,45.680000,35.128609,10873000
2009-02-18,45.750000,45.900002,44.520000,44.849998,34.783493,6362300
2009-02-19,45.200001,45.930000,44.610001,44.720001,34.682674,5531700
2009-02-20,44.029999,44.700001,43.279999,43.990002,34.116508,8530900
2009-02-23,44.139999,44.480000,42.220001,42.349998,32.844612,7521300
2009-02-24,42.369999,43.349998,41.759998,43.000000,33.348724,9434400
2009-02-25,42.660000,42.660000,41.060001,41.520000,32.200901,10247000
2009-02-26,41.750000,42.080002,41.009998,41.099998,31.875172,7871100
2009-02-27,40.610001,41.349998,40.099998,40.830002,31.665773,13032500
2009-03-02,40.230000,40.330002,39.080002,39.169998,30.378355,13265200
2009-03-03,39.480000,39.529999,38.410000,38.549999,29.897516,11499500
2009-03-04,39.169998,39.840000,38.880001,39.160000,30.370596,9739800
2009-03-05,38.090000,38.869999,37.610001,37.919998,29.408913,10797300
2009-03-06,38.240002,38.779999,37.740002,38.540001,29.889761,12189200
2009-03-09,38.029999,38.750000,37.400002,37.560001,29.129713,7758900
2009-03-10,38.290001,40.790001,37.930000,40.790001,31.634735,12141100
2009-03-11,40.849998,41.689999,40.349998,41.060001,31.844152,10084800
2009-03-12,40.820000,41.990002,40.000000,41.799999,32.418056,7692200
2009-03-13,41.459999,41.919998,40.299999,40.570000,31.464127,9083200
2009-03-16,40.889999,42.220001,40.799999,41.119999,31.890686,8389200
2009-03-17,41.200001,41.730000,40.200001,41.709999,32.348263,7257600
2009-03-18,41.490002,42.480000,40.470001,41.880001,32.480099,8683600
2009-03-19,42.270000,42.270000,40.889999,41.049999,31.836393,7088900
2009-03-20,41.610001,41.919998,40.389999,40.529999,31.433105,10383900
2009-03-23,41.360001,43.549999,41.240002,43.480000,33.720989,8082700
2009-03-24,42.959999,43.880001,42.830002,43.209999,33.511589,6321700
2009-03-25,43.490002,44.709999,42.720001,43.689999,33.883842,10556000
2009-03-26,43.799999,45.590000,43.560001,45.470001,35.264328,9179200
2009-03-27,45.020000,45.310001,44.279999,44.480000,34.496525,5513900
2009-03-30,43.599998,43.910000,42.139999,42.599998,33.038502,6530900
2009-03-31,42.630001,43.860001,42.599998,42.980000,33.333202,6441200
2009-04-01,42.450001,44.180000,42.060001,43.880001,34.031212,7209700
2009-04-02,44.930000,46.750000,44.689999,45.939999,35.628830,10199900
2009-04-03,46.259998,46.320000,44.950001,45.630001,35.388420,6503500
2009-04-06,45.299999,46.360001,44.630001,46.310001,35.915791,5578400
2009-04-07,45.580002,46.080002,44.900002,45.160000,35.023911,5858600
2009-04-08,45.279999,45.380001,43.889999,44.619999,34.605114,6731500
2009-04-09,45.810001,47.500000,45.740002,47.290001,36.675838,7804100
2009-04-13,46.840000,46.840000,45.540001,46.389999,35.977825,5080000
2009-04-14,46.000000,46.259998,45.169998,45.549999,35.326374,6048900
2009-04-15,45.400002,47.200001,45.310001,46.759998,36.264790,6056300
2009-04-16,47.160000,47.880001,45.970001,47.500000,36.838699,5616600
2009-04-17,47.740002,48.259998,47.279999,47.320000,36.699100,6684600
2009-04-20,46.630001,46.770000,45.500000,45.810001,35.528011,5878900
2009-04-21,47.250000,48.849998,46.990002,47.990002,37.218712,10770800
2009-04-22,47.630001,48.439999,46.840000,46.889999,36.365604,8228700
2009-04-23,46.790001,48.150002,46.259998,48.040001,37.257496,8005600
2009-04-24,48.259998,49.680000,47.840000,49.369999,38.288971,7701400
2009-04-27,48.869999,49.340000,48.160000,48.459999,37.583237,4782000
2009-04-28,47.689999,48.560001,47.340000,47.970001,37.203205,3581800
2009-04-29,48.470001,49.660000,48.150002,48.910000,37.932240,5533800
2009-04-30,49.480000,50.279999,48.520000,48.840000,37.877937,6544700
2009-05-01,49.270000,49.790001,48.660000,49.520000,38.405315,4495300
2009-05-04,49.619999,51.400002,49.619999,51.180000,39.692722,6941600
2009-05-05,50.900002,51.900002,50.900002,51.830002,40.196838,4930300
2009-05-06,52.340000,52.849998,51.509998,52.290001,40.553596,4989200
2009-05-07,52.279999,52.759998,51.200001,51.720001,40.111534,6311100
2009-05-08,52.419998,53.610001,51.029999,53.549999,41.530788,7328700
2009-05-11,52.700001,53.130001,52.110001,52.500000,40.716465,5339800
2009-05-12,52.889999,53.070000,51.740002,52.840000,40.980148,6522300
2009-05-13,51.439999,51.439999,49.869999,50.610001,39.538746,8069300
2009-05-14,50.799999,52.049999,50.750000,51.509998,40.241863,6675200
2009-05-15,51.380001,51.939999,50.919998,51.279999,40.062176,7094700
2009-05-18,51.160000,53.070000,51.160000,52.980000,41.390301,5998800
2009-05-19,52.840000,53.169998,52.209999,52.299999,40.859055,5573200
2009-05-20,52.689999,52.889999,51.590000,51.740002,40.421570,6130900
2009-05-21,51.040001,51.180000,49.900002,50.759998,39.655937,6178600
2009-05-22,50.779999,51.759998,50.520000,51.040001,39.874683,4295000
2009-05-26,51.040001,53.029999,50.639999,52.740002,41.202812,5329400
2009-05-27,52.840000,53.200001,51.430000,51.439999,40.187176,4974100
2009-05-28,51.860001,52.570000,50.950001,52.380001,40.921555,5009700
2009-05-29,52.529999,52.700001,51.730000,52.610001,41.101238,4778400
2009-06-01,53.490002,55.580002,53.209999,55.270000,43.179340,5974800
2009-06-02,55.209999,55.919998,54.669998,55.580002,43.421539,5478800
2009-06-03,55.119999,55.369999,54.200001,54.689999,42.726223,4971100
2009-06-04,54.860001,55.410000,54.669998,55.130001,43.069977,5098700
2009-06-05,55.889999,56.990002,55.860001,56.389999,44.054340,8450100
2009-06-08,56.250000,56.970001,55.279999,56.490002,44.132477,5248000
2009-06-09,56.570000,56.650002,55.090000,55.520000,43.374660,5877100
2009-06-10,56.049999,56.220001,54.549999,55.500000,43.359028,6008600
2009-06-11,55.709999,56.320000,55.320000,55.549999,43.398098,5110500
2009-06-12,55.340000,55.970001,54.770000,55.840000,43.624657,3611700
2009-06-15,55.310001,55.400002,53.970001,54.720001,42.749668,5762100
2009-06-16,54.750000,55.279999,54.349998,54.580002,42.640289,6048800
2009-06-17,54.459999,55.230000,54.349998,54.680000,42.718410,5595600
2009-06-18,54.669998,55.299999,54.560001,54.930000,42.913723,5410300
2009-06-19,55.220001,55.250000,54.029999,54.200001,42.343422,8405500
2009-06-22,53.849998,53.849998,52.320000,52.580002,41.077805,5677600
2009-06-23,52.820000,52.959999,51.650002,51.840000,40.499683,5483700
2009-06-24,52.270000,52.520000,50.439999,50.810001,39.695000,6481000
2009-06-25,50.630001,52.349998,50.540001,52.029999,40.648113,6110300
2009-06-26,51.740002,52.080002,51.189999,51.549999,40.273129,12306500
2009-06-29,51.799999,52.639999,51.700001,52.470001,40.991871,5107900
2009-06-30,52.400002,52.610001,51.150002,51.959999,40.593433,6995100
2009-07-01,52.150002,52.689999,52.040001,52.279999,40.843426,4671000
2009-07-02,51.700001,51.759998,49.900002,50.240002,39.249680,5516800
2009-07-06,49.869999,50.980000,49.330002,50.900002,39.765316,6282400
2009-07-07,50.889999,50.990002,49.380001,49.430000,38.616879,6282900
2009-07-08,49.740002,50.049999,49.009998,49.680000,38.812195,7001100
2009-07-09,50.189999,50.630001,49.490002,49.650002,38.788761,4338900
2009-07-10,49.209999,49.990002,49.000000,49.639999,38.780945,4803400
2009-07-13,49.849998,51.529999,49.610001,51.419998,40.171562,5656800
2009-07-14,51.599998,51.740002,50.869999,51.580002,40.296558,3613800
2009-07-15,52.230000,53.930000,52.020000,53.750000,41.991859,6637700
2009-07-16,53.799999,54.259998,53.000000,53.970001,42.163719,4160500
2009-07-17,53.830002,53.990002,53.240002,53.799999,42.030907,4435200
2009-07-20,54.040001,55.029999,53.950001,54.970001,42.944981,4400700
2009-07-21,54.450001,54.639999,53.549999,53.970001,42.163719,7383300
2009-07-22,53.810001,54.279999,52.910000,53.119999,41.499672,8030800
2009-07-23,53.250000,53.740002,52.639999,53.380001,41.702812,11176800
2009-07-24,53.380001,53.529999,51.849998,52.230000,40.804363,7665900
2009-07-27,52.160000,52.459999,51.720001,52.110001,40.710625,6083300
2009-07-28,51.840000,52.619999,51.639999,52.439999,40.968422,5255000
2009-07-29,52.139999,53.340000,51.950001,53.200001,41.562183,4832500
2009-07-30,53.700001,54.990002,53.430000,54.230000,42.366848,7583100
2009-07-31,54.259998,54.830002,54.009998,54.470001,42.554348,5768400
2009-08-03,54.119999,55.380001,54.119999,55.180000,43.109020,6219300
2009-08-04,55.000000,55.360001,54.520000,54.790001,42.804352,6125700
2009-08-05,54.849998,54.939999,53.669998,54.220001,42.359043,4436200
2009-08-06,54.529999,55.259998,53.889999,55.060001,43.015293,6059200
2009-08-07,55.570000,56.000000,55.110001,55.590000,43.429348,5603300
2009-08-10,55.459999,56.430000,55.349998,55.889999,43.663719,4929300
2009-08-11,55.950001,56.020000,55.439999,55.770000,43.569973,5560900
2009-08-12,55.709999,58.790001,55.700001,58.169998,45.444950,8667300
2009-08-13,58.080002,58.119999,56.939999,57.400002,44.843391,5936800
2009-08-14,57.209999,57.680000,56.369999,57.209999,44.694973,4385000
2009-08-17,56.759998,57.000000,55.759998,56.130001,43.851219,5409500
2009-08-18,56.299999,57.130001,56.230000,56.810001,44.382465,3842400
2009-08-19,55.880001,56.619999,55.549999,56.000000,44.048176,6597400
2009-08-20,55.959999,57.259998,55.840000,57.259998,45.039261,5066700
2009-08-21,57.680000,58.840000,57.220001,58.709999,46.179783,6823400
2009-08-24,58.930000,59.720001,58.770000,59.299999,46.643871,5756800
2009-08-25,59.410000,60.630001,59.040001,59.709999,46.966351,6798500
2009-08-26,59.700001,59.970001,59.169998,59.770000,47.013561,3721400
2009-08-27,59.619999,60.439999,59.529999,60.009998,47.202328,4082900
2009-08-28,60.290001,60.369999,59.389999,59.639999,46.911293,3846600
2009-08-31,59.279999,59.360001,58.830002,59.360001,46.691051,3760000
2009-09-01,59.349998,60.400002,58.599998,59.060001,46.455093,6182400
2009-09-02,58.990002,59.290001,58.669998,58.849998,46.289909,3723900
2009-09-03,58.860001,59.750000,58.849998,59.650002,46.919174,4733900
2009-09-04,59.680000,60.689999,59.470001,60.520000,47.603485,3424100
2009-09-08,60.740002,60.880001,59.830002,60.380001,47.493370,4951500
2009-09-09,60.490002,61.369999,60.490002,61.240002,48.169807,4925000
2009-09-10,61.250000,62.000000,60.740002,61.950001,48.728291,4573700
2009-09-11,62.040001,62.040001,61.410000,61.990002,48.759766,4765600
2009-09-14,61.509998,61.759998,61.139999,61.560001,48.421532,4838300
2009-09-15,61.669998,61.730000,61.180000,61.290001,48.209145,5412100
2009-09-16,61.700001,62.349998,61.349998,61.950001,48.728291,7264200
2009-09-17,61.919998,63.040001,61.919998,62.520000,49.176624,6683800
2009-09-18,62.720001,63.279999,62.500000,62.820000,49.412598,6837000
2009-09-21,62.470001,63.020000,62.299999,62.669998,49.294617,3691000
2009-09-22,63.209999,63.299999,62.799999,63.230000,49.735107,4584200
2009-09-23,63.480000,63.720001,62.669998,62.740002,49.349682,4698500
2009-09-24,62.930000,63.000000,62.009998,62.340000,49.035049,4699900
2009-09-25,62.189999,62.189999,61.009998,61.540001,48.405800,4667900
2009-09-28,61.900002,62.150002,61.560001,61.639999,48.484444,5365900
2009-09-29,61.660000,61.930000,61.250000,61.310001,48.224884,4048900
2009-09-30,61.169998,61.529999,59.970001,60.930000,47.925980,6495100
2009-10-01,60.830002,60.980000,59.910000,59.990002,47.186596,6125600
2009-10-02,59.380001,59.939999,59.310001,59.630001,46.903435,4662800
2009-10-05,60.000000,60.480000,59.369999,60.430000,47.532688,3562700
2009-10-06,60.880001,61.919998,60.689999,61.490002,48.366474,3726800
2009-10-07,60.860001,61.459999,60.860001,61.070000,48.036091,2375400
2009-10-08,61.599998,62.279999,61.290001,61.779999,48.594566,4464300
2009-10-09,61.840000,62.220001,61.779999,62.169998,48.901325,2811900
2009-10-12,62.320000,62.490002,61.040001,61.470001,48.350735,3613300
2009-10-13,61.470001,62.150002,61.209999,61.970001,48.744019,3683200
2009-10-14,62.740002,63.869999,62.250000,63.759998,50.151978,5235700
2009-10-15,63.459999,64.440002,63.459999,64.400002,50.655407,5668700
2009-10-16,64.160004,65.089996,64.120003,64.889999,51.040813,6206800
2009-10-19,65.029999,65.860001,64.790001,65.440002,51.473423,5980000
2009-10-20,64.410004,65.879997,63.799999,65.400002,51.441971,6567400
2009-10-21,65.139999,66.260002,64.760002,65.400002,51.441971,5830100
2009-10-22,65.260002,66.059998,64.900002,65.900002,51.835274,4801900
2009-10-23,66.000000,66.360001,65.540001,65.809998,51.764458,5562800
2009-10-26,65.809998,66.260002,64.419998,64.830002,50.993618,5456700
2009-10-27,65.019997,65.430000,63.910000,64.089996,50.411552,5606600
2009-10-28,63.779999,64.320000,62.580002,62.610001,49.247425,5005700
2009-10-29,62.709999,63.740002,62.340000,63.580002,50.010406,4991000
2009-10-30,63.419998,63.779999,61.419998,61.450001,48.334999,8178600
2009-11-02,61.709999,62.939999,61.430000,62.660000,49.286758,4587300
2009-11-03,62.169998,63.349998,62.169998,63.200001,49.711494,4432100
2009-11-04,63.549999,64.639999,63.389999,63.580002,50.010406,4446500
2009-11-05,64.029999,65.500000,63.900002,65.449997,51.481289,3654000
2009-11-06,65.360001,65.720001,64.690002,65.070000,51.182404,3895200
2009-11-09,65.629997,66.750000,65.110001,66.730003,52.488117,3834700
2009-11-10,66.739998,67.199997,66.290001,66.730003,52.488117,3552600
2009-11-11,66.860001,67.449997,66.629997,66.970001,52.676899,3409000
2009-11-12,67.150002,67.570000,66.510002,66.699997,52.464512,4666800
2009-11-13,66.860001,68.250000,66.660004,67.989998,53.479202,4951200
2009-11-16,68.300003,69.400002,68.010002,69.339996,54.541073,5373000
2009-11-17,69.379997,69.959999,69.080002,69.930000,55.005157,4811300
2009-11-18,69.739998,69.760002,68.400002,68.809998,54.423828,5958800
2009-11-19,68.480003,68.480003,67.290001,68.010002,53.791080,4208900
2009-11-20,67.730003,68.110001,67.489998,67.970001,53.759449,3361100
2009-11-23,68.519997,69.129997,68.290001,68.730003,54.360550,3260700
2009-11-24,68.500000,68.730003,67.910004,68.269997,53.996719,3886500
2009-11-25,68.470001,68.470001,67.919998,68.309998,54.028343,2723900
2009-11-27,66.930000,67.580002,66.349998,67.199997,53.150417,2599000
2009-11-30,67.169998,67.459999,66.519997,67.239998,53.182060,4311300
2009-12-01,68.000000,68.690002,67.900002,68.000000,53.783161,3856200
2009-12-02,67.730003,68.650002,67.519997,68.150002,53.901802,2658000
2009-12-03,68.050003,68.489998,67.180000,67.260002,53.197872,3787600
2009-12-04,67.790001,68.820000,67.500000,68.320000,54.036266,4389400
2009-12-07,68.320000,69.199997,68.199997,68.860001,54.463367,3486400
2009-12-08,68.519997,68.519997,67.389999,68.230003,53.965080,4107700
2009-12-09,67.739998,67.900002,66.750000,67.410004,53.316517,4835800
2009-12-10,67.779999,69.000000,67.580002,67.930000,53.727802,4786500
2009-12-11,68.820000,69.650002,68.650002,69.400002,54.890457,5805200
2009-12-14,69.900002,69.980003,69.470001,69.910004,55.293850,4999500
2009-12-15,69.779999,70.300003,69.360001,70.250000,55.562748,5467900
2009-12-16,70.400002,70.750000,70.089996,70.250000,55.562748,5235500
2009-12-17,70.059998,70.120003,69.459999,69.580002,55.032837,3718800
2009-12-18,69.900002,70.000000,69.120003,69.459999,54.937927,9565800
2009-12-21,69.550003,70.029999,69.279999,69.360001,54.858829,4094500
2009-12-22,69.379997,69.860001,69.209999,69.349998,54.850933,4007000
2009-12-23,69.360001,69.779999,69.129997,69.510002,54.977478,2877100
2009-12-24,69.680000,70.500000,69.680000,70.360001,55.649742,1253900
2009-12-28,70.300003,70.779999,69.989998,70.459999,55.728848,2021900
2009-12-29,70.589996,70.889999,70.300003,70.300003,55.602306,2266000
2009-12-30,70.300003,70.540001,70.000000,70.489998,55.752602,2191100
